! From the Lovell rotamer library
!   Lovell, Word, Richardson, and Richardson. "The Penultimate
!   Rotamer Library." PROTEINS: Structure, Function, and Genetics,
!   40:389-408 (2000).
! The first line is the number of AA types to be read
! The format for the rest of the file is
! AA_name num_dihedrals num_rotamers
! dihedral_list_one_per_line
! rotamer_angles
19
ALA 0 0
VAL 1 9
N CA CB CG1
54
63
72
166
175
184
-69
-60
-51
LEU 2 15
N CA CB CG
CA CB CG CD1
-76 180 -65 175
-67 180 -65 175
-58 180 -65 175
-76 -167 -65 -85
-67 -167 -65 -85
-58 -167 -65 -85
-71 -68 180 85
-62 -68 180 85
-53 -68 180 85
-71 -68 180 180
-62 -68 180 180
-53 -68 180 180
-71 -68 180 -85
-62 -68 180 -85
-53 -68 180 -85
-71 -68 -65 175
-62 -68 -65 175
-53 -68 -65 175
-71 -68 -65 -85
-62 -68 -65 -85
-53 -68 -65 -85
HIS 2 24
N CA CB CG
CA CB CG ND1
53 -75
62 -75
71 -75
53 80
62 80
71 80
-186 -165
-177 -165
-168 -165
-186 -80
-177 -80
-168 -80
-186 60
-177 60
-168 60
-74 -70
-65 -70
-56 -70
-74 165
-65 165
-56 165
-74 80
-65 80
-56 80
ASP 2 15
N CA CB CG
CA CB CG OD1
53 -10
62 -10
71 -10
53 30
62 30
71 30
-186 0
-177 0
-168 0
-186 65
-177 65
-168 65
-79 -15
-70 -15
-61 -15
GLU 3 24
N CA CB CG
CA CB CG CD
CB CG CD OE1
53 180 -20
62 180 -20
71 180 -20
61 -80 0
70 -80 0
79 -80 0
-186 65 10
-177 65 10
-168 65 10
-186 180 0
-177 180 0
-168 180 0
-186 -80 -25
-177 -80 -25
-168 -80 -25
-74 85 0
-65 85 0
-56 85 0
-76 180 -10
-67 180 -10
-58 180 -10
-74 -65 -40
-65 -65 -40
-56 -65 -40
ASN 2 21
N CA CB CG
CA CB CG OD1
53 -10
62 -10
71 -10
53 30
62 30
71 30
-183 -20
-174 -20
-165 -20
-186 30
-177 30
-168 30
-74 -20
-65 -20
-56 -20
-74 -75
-65 -75
-56 -75
-74 120
-65 120
-56 120
GLN 3 27
N CA CB CG
CA CB CG CD
CB CG CD OE1
53 180 20
62 180 20
71 180 20
61 -75 0
70 -75 0
